product_id,unit_cost,unit_sale_price
Iphone 15 Pro (P01),4200,5000
Iphone 15 Pro Max (P02),4800,5700
Samsung Galaxy S24 Ultra (P03),4300,5200
Samsung Galaxy A54 (P04),1200,1600
MacBook Air M2 (P05),4500,5300
MacBook Pro 14 M3 (P06),7500,8600
Lenovo IdeaPad 3 (P07),1500,2000
ASUS ROG Strix G15 (P08),5500,6400
iPad Air 5th Gen (P09),2500,3100
Samsung Tab S9 (P10),3000,3700
Apple Watch Series 9 (P11),1700,2100
Samsung Galaxy Watch 6 (P12),1200,1500
Garmin Fenix 7 (P13),2800,3400
AirPods Pro 2 (P14),900,1200
Sony WH-1000XM5 (P15),1400,1800
Samsung 55-inch 4K TV (P16),2200,2800
LG OLED 65-inch TV (P17),5000,6200
PlayStation 5 (P18),2100,2500
Xbox Series X (P19),2000,2400
Nintendo Switch OLED (P20),1400,1700
